Category,Description,Address,City,Postal Code,Floor Space,Floor Space Unit,Avg Hours/Week,Annual Flow (Mega Litres),Electricity Quantity,Electricity Unit,Natural Gas Quantity,Natural Gas Unit,Fuel Oil 1 & 2 Quantity,Fuel Oil 1 & 2 Unit,Fuel Oil 4 & 6 Quantity,Fuel Oil 4 & 6 Unit,Propane Quantity,Propane Unit,Coal Quantity,Coal Unit,Wood Quantity,Wood Unit,District Heating Quantity,District Heating Unit,District Heating Renewable?,"District Heating If Yes, enter Emission Factor",District Cooling Quantity,District Cooling Unit,District Cooling Renewable?,"District Cooling If Yes, enter Emission Factor",GHG Emissions(Kg),Energy Intensity(ekWh/sqft),Energy Intensity(ekWh/Mega Litre),Building / Operation Identifier,Comments
Westwood Park,Other,90 Floyd Ave,Toronto,M4K 2E4,0,Square feet,100,0,4344.060782,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,191,,,WESTWO,Outdoor Recreational Facilities
East Lynn Park,Other,95 West Lynn Ave,Toronto,M4C 3W2,0,Square feet,100,0,4318.299771,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,190,,,ELP,Outdoor Recreational Facilities
99 Cedarvale Ave,Parking garages,99 Cedarvale Ave,Toronto,M4C 1K3,0,Square feet,168,0,4297.044012,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,189,,,99CEDA,Parking Lots and Garages
453 Spadina Rd,Parking garages,453 Spadina Rd,Toronto,M5P 2W4,0,Square feet,168,0,4296.010131,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,189,,,453SPA,Parking Lots and Garages
North Humber Park Lighting,Other,2901 Kipling Ave,Toronto,M9V 5E5,0,Square feet,100,0,4287.756115,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,189,,,2901KI,Outdoor Recreational Facilities
Ashtonbee Reservoir Park,Other,21 Ashtonbee Rd.,Toronto,M1L 4R5,0,Square feet,100,0,4055.213185,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,178,,,ARP,Outdoor Recreational Facilities
Oates Park,Other,10 Oates Dr,Toronto,M1L 0A9,0,Square feet,100,0,4053.386803,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,178,,,OATES,Outdoor Recreational Facilities
Woodward & Highland,Other,Woodward & Highland,Thornhill,L3T 1E9,0,Square feet,168,0,4002.095489,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,176,,,WDHGLD,Water Misc Service
12 Woodycrest Ave,Parking garages,12 Woodycrest Ave,Toronto,M4J 3A5,14198,Square feet,168,0,3950.59702,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,174,0.3,,12WOOD,Parking Lots and Garages
Greystone Park,Other,7 Greystone Walk Dr,Toronto,M8V 4A5,0,Square feet,100,0,3945.081716,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,174,,,7GREYS,Outdoor Recreational Facilities
Murison Woods Park,Other,95 Murison Blvd,Toronto,M1B 2L6,0,Square feet,100,0,3874.157362,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,170,,,95MURR,Outdoor Recreational Facilities
Frank Stollery Parkette,Other,2 Scollard St,Toronto,M5R 1E9,0,Square feet,100,0,3792.614323,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,167,,,FRANK,Outdoor Recreational Facilities
34 Park  Home Ave - Lighting,Other,34 Park  Home Ave - Lighting,North York,M2N 6L3,0,Square feet,100,0,3791.449946,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,167,,,34PARKHLT,Outdoor Recreational Facilities
Clarence Square,Other,25 Clarence Sq,Toronto,M5V 1H1,0,Square feet,100,0,3790.249189,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,167,,,CLASQ,Outdoor Recreational Facilities
Ben Nobleman,Other,1075 Eglinton Ave W,Toronto,M6C 2E1,0,Square feet,100,0,3745.188655,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,165,,,BENN,Outdoor Recreational Facilities
117 Hammersmith Ave,Parking garages,117 Hammersmith Ave,Toronto,M4E 2W5,9171,Square feet,168,0,3716.294577,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,164,0.4,,117HAM,Parking Lots and Garages
55 York St,Parking garages,55 York St,Toronto,M5J 1R7,0,Square feet,168,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,161,,,55YORK,Parking Lots and Garages
Geary Ave Parkette W.Pool,Other,15 Geary Av,Toronto,M6H 2B3,0,Square feet,100,0,3655.669591,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,161,,,GAPP,Outdoor Recreational Facilities
College Park,Other,484 Yonge St,Toronto,M4Y 1X5,0,Square feet,100,0,3655.669379,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,161,,,CLSP,Outdoor Recreational Facilities
71 Ellis Park Rd,Other,71 Ellis Park Rd,Toronto,M6S 2V3,0,Square feet,168,0,3655.668431,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,161,,,71ELLIS,Outdoor Recreational Facilities
