Category,Description,Address,City,Postal Code,Floor Space,Floor Space Unit,Avg Hours/Week,Annual Flow (Mega Litres),Electricity Quantity,Electricity Unit,Natural Gas Quantity,Natural Gas Unit,Fuel Oil 1 & 2 Quantity,Fuel Oil 1 & 2 Unit,Fuel Oil 4 & 6 Quantity,Fuel Oil 4 & 6 Unit,Propane Quantity,Propane Unit,Coal Quantity,Coal Unit,Wood Quantity,Wood Unit,District Heating Quantity,District Heating Unit,District Heating Renewable?,"District Heating If Yes, enter Emission Factor",District Cooling Quantity,District Cooling Unit,District Cooling Renewable?,"District Cooling If Yes, enter Emission Factor",GHG Emissions(Kg),Energy Intensity(ekWh/sqft),Energy Intensity(ekWh/Mega Litre),Building / Operation Identifier,Comments
Main Treatment Plant,Facilities related to the treatment of sewage,1091 Eastern Ave,Toronto,M4L 1A8,378438,Square feet,168,201229,134991190,kWh,5758495.334,Cubic meter,,,,,,,,,,,,,,,,,,,16823169,517.3,972.9,MTP,Sewage Treatment Facilities
Highland Creek Treatment Plant,Facilities related to the treatment of sewage,51 Beechgrove Dr,Toronto,M1E 3Z3,255395,Square feet,168,59200,32762924.66,kWh,7354305.281,Cubic meter,,,,,,,,,,,,,,,,,,,15341206,432.3,"1,864.9",HCTP,Sewage Treatment Facilities
Humber Treatment Plant,Facilities related to the treatment of sewage,130 The Queensway,Toronto,M8Y 1H9,224869,Square feet,168,94168,52764325.28,kWh,1402749.426,Cubic meter,,,,,,,,,,,,,,,,,,,4972827,300.5,717.6,HTP,Sewage Treatment Facilities
Union Station,Other,61 Front St. W.,Toronto,M5J 1E5,765564,Square feet,168,0,13180893.12,kWh,337088.4113,Cubic meter,,,,,,,,,,,,,,,,,,,3506489,45.3,,UNION,Transportation Hub
F.J. Horgan Filtration Plant,Facilities related to the treatment of water,201 Copperfield Rd,Toronto,M1E 5G7,325447,Square feet,168,109018.45,45505671.68,kWh,341551.2976,Cubic meter,,,,,,,,,,,,,,,,,,,2647782,150.9,450.5,FJH,Water Treatment Facilities
R.L. Clark Filtration Plant,Facilities related to the treatment of water,1-45 Twenty Third St.,Toronto,M8V 3M6,401612,Square feet,168,130826.31,54054084.13,kWh,66999.54998,Cubic meter,,,,,,,,,,,,,,,,,,,2505009,136.4,418.6,RLC,Water Treatment Facilities
City Hall,"Administrative offices and related facilities, including municipal council chambers",100 Queen St W,Toronto,M5H 2N1,780061,Square feet,70,0,13918639.1,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,2262520,37.4,,CH,Administrative Offices
R.C. Harris Filtration Plant,Facilities related to the treatment of water,1 Nursewood Rd.,Toronto,M4E 1H4,115368,Square feet,168,113448.45,42773402.25,kWh,33512.35,Cubic meter,,,,,,,,,,,,,,,,,,,1945368,373.8,380.1,RCH,Water Treatment Facilities
John Street Pumping Station,Facilities related to the pumping of water,28 John St,Toronto,M5V 3J2,112773,Square feet,168,100754.44,43888778.16,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1931106,389.2,435.6,JSPS,Water Pumping Facilities
Metro Hall,"Administrative offices and related facilities, including municipal council chambers",55 John St,Toronto,M5V 3C6,787186,Square feet,70,0,9092052.906,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1631146,28.2,,MH,Administrative Offices
Police Headquarters,Police stations and associated offices and facilities,40 College St.,Toronto,M5G 2J3,425000,Square feet,168,0,10072419.92,kWh,508068.7087,Cubic meter,,,,,,,,,,,,,,,,,,,1489376,53.4,,PHQ,Police Stations
Cummer Lodge,Long-term care,205 Cummer Ave,Toronto,M2M 2E8,243200,Square feet,168,0,4714181.938,kWh,630255.3467,Cubic meter,,,,,,,,,,,,,,,,,,,1398607,46.7,,CLOD,Long Term Care Homes
Streetlighting North York,Street lighting,NY Street Lighting,Toronto,M3J 0H4,0,Square feet,70,0,31384172.07,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1380904,,,SLNY,Streetlighting
Old City Hall,"Administrative offices and related facilities, including municipal council chambers",60 Queen St.W.,Toronto,M5H 2M3,350494,Square feet,70,0,3170091.639,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1294719,31.6,,OCH,Administrative Offices
Streetlighting Scarborough,Street lighting,2100 Ellesmere Rd,Toronto,M1H 3B7,0,Square feet,70,0,29074315.97,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1279270,,,SLSC,Streetlighting
Streetlighting Toronto,Street lighting,City Streetlights,Toronto,M6K 1E9,0,Square feet,70,0,29011832.29,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1276521,,,SLTO,Streetlighting
Bendale Acres,Long-term care,2920 Lawrence Ave.E.,Toronto,M1P 2T8,210327,Square feet,168,0,3508954.594,kWh,575434.6881,Cubic meter,,,,,,,,,,,,,,,,,,,1241966,45.6,,BA,Long Term Care Homes
Police Academy,Police stations and associated offices and facilities,70 Birmingham Street,Toronto,M8V 2Z5,302735,Square feet,168,0,2939669.148,kWh,582209.6632,Cubic meter,,,,,,,,,,,,,,,,,,,1229722,30.0,,PACAD,Police Stations
Ellesmere Pumping Station,Facilities related to the pumping of water,2950 Ellesmere Rd,Toronto,M1E 4B8,6243,Square feet,168,103876.2,26834238.31,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,1180706,"4,298.3",258.3,ELPS,Water Pumping Facilities
North York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",5100 Yonge Street,Toronto,M2N 5V7,303518,Square feet,70,0,5554373.717,kWh,476582.7595,Cubic meter,,,,,,,,,,,,,,,,,,,1145134,34.9,,NYCC,Administrative Offices
Toronto Reference Library,Public libraries,789 Yonge St,Toronto,M4W 2G8,416025,Square feet,70,0,8460722.129,kWh,395102.675,Cubic meter,,,,,,,,,,,,,,,,,,,1119016,30.4,,TRL,Public Libraries
Kipling Acres,Long-term care,2233 Kipling Ave,Toronto,M9W 4L3,184590,Square feet,168,0,3199538.944,kWh,461905.7355,Cubic meter,,,,,,,,,,,,,,,,,,,1013782,43.7,,KA,Long Term Care Homes
Etobicoke Olympium,Indoor recreational facilities,590 Rathburn Rd,Toronto,M9C 3T3,139995,Square feet,100,0,3124861.149,kWh,453689.4739,Cubic meter,,,,,,,,,,,,,,,,,,,994967,56.5,,ETOBO,Indoor Recreational Facilities
Eastern & Booth Blocks,"Storage facilities where equipment or vehicles are maintained, repaired or stored",433 Eastern Ave,Toronto,M4M 1B7,236645,Square feet,70,0,2996248.349,kWh,440694.8,Cubic meter,,,,,,,,,,,,,,,,,,,964748,32.3,,EBB,Storage Facilities
High Park Greenhouses,Other,15 High Park,Toronto,M6P 2R5,60386,Square feet,168,0,569492.47,kWh,476105.2623,Cubic meter,,,,,,,,,,,,,,,,,,,924897,92.7,,HIPG,Greenhouses
Seven Oaks,Long-term care,9 Neilson Rd.,Toronto,M1E 5E1,133311,Square feet,168,0,2797144.403,kWh,413194.185,Cubic meter,,,,,,,,,,,,,,,,,,,904011,53.7,,SO,Long Term Care Homes
Traffic Services and Garage,Police stations and associated offices and facilities,9 Hanna Ave,Toronto,M6K 3E7,297988,Square feet,168,0,2779372.742,kWh,412568.8972,Cubic meter,,,,,,,,,,,,,,,,,,,902048,23.9,,TSGAR,Police Stations
Wesburn Manor,Long-term care,400 The West Mall,Toronto,M9C 5S1,150867,Square feet,168,0,2148181.301,kWh,420053.2361,Cubic meter,,,,,,,,,,,,,,,,,,,888421,43.6,,WBM,Long Term Care Homes
Castleview Wychwood Towers,Long-term care,351 Christie St,Toronto,M6G 3C3,294447,Square feet,168,0,5395088.028,kWh,335473.2239,Cubic meter,,,,,,,,,,,,,,,,,,,871428,30.4,,CWT,Long Term Care Homes
Seaton House,Social housing,339 George St,Toronto,M5A 2N2,97995,Square feet,168,0,1425407.196,kWh,427250.1984,Cubic meter,,,,,,,,,,,,,,,,,,,870221,60.6,,SH,Shelters & Housing
Eastern Ave Yard / Office,"Storage facilities where equipment or vehicles are maintained, repaired or stored",843 Eastern Ave,Toronto,M4L 1A2,84701,Square feet,70,0,1099943.7,kWh,414314.5077,Cubic meter,,,,,,,,,,,,,,,,,,,831452,64.6,,EAYO,Storage Facilities
Streetlighting Etobicoke,Street lighting,Steetlighting Etobicoke,Toronto,M9W 1H3,0,Square feet,70,0,18770788.08,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,825915,,,SLET,Streetlighting
Consolidated Communication Ctr,"Administrative offices and related facilities, including municipal council chambers",703 Don Mills Rd,Toronto,M3C 3N3,132999,Square feet,70,0,7745496.193,kWh,237831.9168,Cubic meter,,,,,,,,,,,,,,,,,,,790304,77.1,,CCC,Administrative Offices
True Davidson Acres,Long-term care,200 Dawes Rd,Toronto,M4C 5M8,130082,Square feet,168,0,2528742.255,kWh,346950.6053,Cubic meter,,,,,,,,,,,,,,,,,,,767001,47.6,,TDA,Long Term Care Homes
Fudger House,Long-term care,439 Sherbourne St,Toronto,M4X 1K6,118995,Square feet,168,0,1959804.189,kWh,349509.5761,Cubic meter,,,,,,,,,,,,,,,,,,,746804,47.5,,FHSE,Long Term Care Homes
Scarborough Civic Centre,"Administrative offices and related facilities, including municipal council chambers",150 Borough Dr,Toronto,M1P 4N7,372861,Square feet,70,0,6183959.803,kWh,239475.9387,Cubic meter,,,,,,,,,,,,,,,,,,,724704,23.4,,SCCC,Administrative Offices
Central Equipment Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1026 Finch Ave. W,Toronto,M3J 2E1,148198,Square feet,70,0,1319169.101,kWh,349438.5317,Cubic meter,,,,,,,,,,,,,,,,,,,718482,33.8,,CEY,Storage Facilities
Ambulance Headquarters,Ambulance stations and associated offices and facilities,4330 Dufferin St,Toronto,M3H 5R9,143494,Square feet,168,0,3835041.013,kWh,249446.5195,Cubic meter,,,,,,,,,,,,,,,,,,,640196,45.1,,AHQ,Ambulance Stations
Agincourt Arena and R.C,Indoor recreational facilities,31 Glen Watford Dr,Toronto,M1S 2B7,93398,Square feet,100,0,2113400.107,kWh,286863.2168,Cubic meter,,,,,,,,,,,,,,,,,,,635161,55.1,,AGINA,Indoor Recreational Facilities
Centennial R.C (Ice Galaxy),Indoor recreational facilities,1967 Ellesmere Rd,Toronto,M1H 2W5,102376,Square feet,100,0,0,kWh,252003.7222,Cubic meter,,,,,,,,,,,,,,,,,,,586100,50.4,,CENTC,Indoor Recreational Facilities
St Lawrence Market South,Cultural facilities,91 Front St E,Toronto,M5E 1C2,99114,Square feet,100,0,5230568.445,kWh,185002.5043,Cubic meter,,,,,,,,,,,,,,,,,,,579800,72.5,,SLMS,Cultural Facilities
Toronto Water Centre,"Administrative offices and related facilities, including municipal council chambers",60 Tiffield Rd,Toronto,M1V 5N2,64831,Square feet,70,0,3363796.359,kWh,224396.6465,Cubic meter,,,,,,,,,,,,,,,,,,,572117,88.4,,60TIFF,Administrative Offices
St Lawrence C.C,Community centres,224 The Esplanade,Toronto,M5A 4J6,46113,Square feet,100,0,931605.2903,kWh,274280.0015,Cubic meter,,,,,,,,,,,,,,,,,,,559380,83.0,,STLAC,Community Centres
Richview Pumping Station,Facilities related to the pumping of water,551 Martin Grove Rd,Toronto,M9R 4B7,2357,Square feet,168,59019.24,12591393.78,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,554021,"5,342.1",213.3,RVPS,Water Pumping Facilities
Property Evidence Unit,Police stations and associated offices and facilities,330 Progress Ave,Toronto,M1R 5C4,287752,Square feet,168,0,3615951.335,kWh,188420.6167,Cubic meter,,,,,,,,,,,,,,,,,,,515217,19.5,,PROPEU,Police Stations
Etobicoke Civic Centre,"Administrative offices and related facilities, including municipal council chambers",399 The West Mall,Toronto,M9C 2Y2,154925,Square feet,70,0,3013675.133,kWh,185414.6125,Cubic meter,,,,,,,,,,,,,,,,,,,483035,32.1,,ETCC,Administrative Offices
Malvern R.C,Indoor recreational facilities,30 Sewells Rd,Toronto,M1B 3G5,106466,Square feet,100,0,2597312.998,kWh,191074.3923,Cubic meter,,,,,,,,,,,,,,,,,,,475412,43.3,,MALVC,Indoor Recreational Facilities
Birchmount C.C,Community centres,93 Birchmount Rd,Toronto,M1N 3J7,46166,Square feet,100,0,1523471.842,kWh,214261.7389,Cubic meter,,,,,,,,,,,,,,,,,,,471987,82.0,,BIRCC,Community Centres
North Toronto Mem Rec Ctr,Community centres,200 Eglinton Ave W,Toronto,M4R 1A7,74820,Square feet,100,0,1680413.685,kWh,209203.3609,Cubic meter,,,,,,,,,,,,,,,,,,,469333,52.0,,NORTC,Community Centres
High Level Pumping Station,Facilities related to the pumping of water,25 Popular Plains Rd.,Toronto,M4V 2M7,46403,Square feet,168,58648.384,10650332.18,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,468615,229.5,181.6,HLPS,Water Pumping Facilities
Island Filtration Plant,Facilities related to the treatment of water,446 Lakeshore Ave,Toronto,M5J 2W2,64196,Square feet,168,94598.16,8691249.398,kWh,41771.50278,Cubic meter,,,,,,,,,,,,,,,,,,,461363,142.3,96.5,IFP,Water Treatment Facilities
Rosehill Pumping Station,Facilities related to the pumping of water,0 Mt.pleasant,Toronto,M4Y 2Y5,1550,Square feet,168,34480.818,10401488.17,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,457665,"6,710.7",301.7,RHPS,Water Pumping Facilities
Ellesmere Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1050 Ellesmere Rd,Toronto,M1P 2X3,138069,Square feet,70,0,1569573.171,kWh,203608.313,Cubic meter,,,,,,,,,,,,,,,,,,,453881,26.9,,ELLEY,Storage Facilities
Sony Centre,Performing arts facilities,1 Front St. E.,Toronto,M5E 1B2,173084,Square feet,100,0,2420073.906,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,440002,23.1,,HBC,Performing Arts Facilities
Douglas Snow Aquatic Center,Indoor swimming pools,5100 Yonge St,Toronto,M2N 5V7,40666,Square feet,100,0,853155.7845,kWh,207745.8958,Cubic meter,,,,,,,,,,,,,,,,,,,430179,74.9,,DSAC,Indoor Swimming Pool
Allan A Lamport Stadium,Other,1155 King St W,Toronto,M6K 3C1,19688,Square feet,100,0,764256.4606,kWh,208584.1198,Cubic meter,,,,,,,,,,,,,,,,,,,427851,150.7,,LAMS,Outdoor Recreational Facilities
Cummer Arena,Indoor sports arenas,6000 Leslie St,Toronto,M2H 1J9,34348,Square feet,100,0,1466286.705,kWh,190367.9369,Cubic meter,,,,,,,,,,,,,,,,,,,424312,101.2,,CUMMA,Indoor Sports Arena
Centennial Greenhouse,Other,149-151 Elmcrest Rd,Toronto,M9C 3S2,29170,Square feet,168,0,275015.2098,kWh,214591.3592,Cubic meter,,,,,,,,,,,,,,,,,,,417678,87.1,,CPGH,Greenhouses
Toronto Centre for the Arts,Performing arts facilities,5040 Yonge St,Toronto,M2N 6R8,177992,Square feet,100,0,1876432.039,kWh,172554.88,Cubic meter,,,,,,,,,,,,,,,,,,,408692,20.8,,TOCTR,Performing Arts Facilities
Central Arena,Indoor sports arenas,50 Montgomery Rd,Toronto,M8X 1Z4,32001,Square feet,100,0,1432823.677,kWh,180726.2513,Cubic meter,,,,,,,,,,,,,,,,,,,404617,104.4,,CTRLA,Indoor Sports Arena
"Forensic Service, Store & Garage",Police stations and associated offices and facilities,2050 Jane St,Toronto,M3M 1A2,62484,Square feet,168,0,1615079.332,kWh,175924.4683,Cubic meter,,,,,,,,,,,,,,,,,,,403561,55.6,,FSSG,Police Stations
Lakeshore Lodge,Long-term care,3197 Lakeshore Blvd,Toronto,M8V 4B7,88964,Square feet,168,0,1636031.943,kWh,174414.8839,Cubic meter,,,,,,,,,,,,,,,,,,,401630,39.1,,LL,Long Term Care Homes
Lillian H Smith,Public libraries,239 College St.,Toronto,M5T 1R4,38933,Square feet,70,0,1067331.291,kWh,182261.4444,Cubic meter,,,,,,,,,,,,,,,,,,,391437,76.8,,LS,Public Libraries
Jimmie Simpson R.C,Indoor recreational facilities,870 Queen St E,Toronto,M4M 3G9,43906,Square feet,100,0,1053048.683,kWh,182559.3658,Cubic meter,,,,,,,,,,,,,,,,,,,391371,67.9,,JIMMC,Indoor Recreational Facilities
Trinity Comm Rec Ctr,Indoor recreational facilities,155 Crawford St,Toronto,M6J 2V5,36909,Square feet,100,0,714065.4419,kWh,189162.1535,Cubic meter,,,,,,,,,,,,,,,,,,,388935,73.5,,CF155,Indoor Recreational Facilities
Disco Road Transfer Station,Other,120 Disco Rd,Toronto,M9W 1M4,57049,Square feet,70,0,7738345.691,kWh,16756.29446,Cubic meter,,,,,,,,,,,,,,,,,,,372157,138.7,,DRTS,Transfer Stations
St James Town C.C.,Community centres,495 Sherbourne St,Toronto,M4X 1K7,41904,Square feet,100,0,960132.2574,kWh,171487.0024,Cubic meter,,,,,,,,,,,,,,,,,,,366356,66.1,,STJMS,Community Centres
Disco Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",150 Disco Rd,Toronto,M9W 1M4,131976,Square feet,70,0,890838.3338,kWh,167216.2893,Cubic meter,,,,,,,,,,,,,,,,,,,355236,20.1,,DISCO,Storage Facilities
North York Central,Public libraries,5120 Yonge St,Toronto,M2N 6L4,168014,Square feet,70,0,2468798.307,kWh,129759.3733,Cubic meter,,,,,,,,,,,,,,,,,,,353872,22.8,,CL,Public Libraries
St Lawrence Centre,Performing arts facilities,27 Front St. E.,Toronto,M5E 1B4,80729,Square feet,100,0,1840837.589,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,346946,38.4,,STLC,Performing Arts Facilities
Don Montgomery,Community centres,2467 Eglinton Ave E,Toronto,M1K 2R1,89125,Square feet,100,0,1867764.735,kWh,130336.3072,Cubic meter,,,,,,,,,,,,,,,,,,,328517,36.4,,MIDSC,Community Centres
Northern District,Public libraries,40 Orchard View Blvd.,Toronto,M4R 1B9,114179,Square feet,70,0,2770133.773,kWh,105180.2916,Cubic meter,,,,,,,,,,,,,,,,,,,320677,34.0,,ND,Public Libraries
King St Garage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1116 King St W,Toronto,M6K 1E9,83485,Square feet,70,0,478316.0121,kWh,158231.1882,Cubic meter,,,,,,,,,,,,,,,,,,,320103,25.7,,KSG,Storage Facilities
Fire Academy,Fire stations and associated offices and facilities,895 Eastern Ave,Toronto,M4L 1A2,61214,Square feet,168,0,813375.0139,kWh,147447.2832,Cubic meter,,,,,,,,,,,,,,,,,,,314464,38.7,,FIREAC,Fire Stations
Joseph J. Piccininni R.C,Indoor recreational facilities,1369 St Clair Ave W,Toronto,M6E 1C5,70030,Square feet,100,0,851121.681,kWh,144738.9585,Cubic meter,,,,,,,,,,,,,,,,,,,311006,34.0,,JOSEC,Indoor Recreational Facilities
Keele Pumping Station,Facilities related to the pumping of water,4995 Keele St,Toronto,M3J 2N8,2745,Square feet,168,38457.808,6838837.903,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,300909,"2,491.4",177.8,KPS,Water Pumping Facilities
University Settlement House R.C,Indoor recreational facilities,23 Grange Rd,Toronto,M5T 1C6,47566,Square feet,100,0,645557.9703,kWh,142796.3092,Cubic meter,,,,,,,,,,,,,,,,,,,298290,45.3,,UNIVC,Indoor Recreational Facilities
East Court & Municipal Services,"Administrative offices and related facilities, including municipal council chambers",1530 Markham Rd,Toronto,M1B 3G4,120104,Square feet,70,0,2016509.38,kWh,109961.925,Cubic meter,,,,,,,,,,,,,,,,,,,296554,26.5,,MR1530,Administrative Offices
Scadding Court Community Ctr,Community centres,707 Dundas St W,Toronto,M5T 2W6,46694,Square feet,100,0,934564.57,kWh,134060.408,Cubic meter,,,,,,,,,,,,,,,,,,,294495,50.3,,SCADC,Community Centres
Albion Comm Ctr & Pool,Indoor swimming pools,1485 Albion Rd,Toronto,M9V 1B2,20688,Square feet,100,0,485652.9326,kWh,142466.8067,Cubic meter,,,,,,,,,,,,,,,,,,,290631,96.2,,ALBIC,Indoor Swimming Pool
#51 Police Division New,Police stations and associated offices and facilities,51 Parliament St,Toronto,M5A 2Y5,56000,Square feet,168,0,1407126.23,kWh,119717.3351,Cubic meter,,,,,,,,,,,,,,,,,,,288179,47.7,,51PDN,Police Stations
Gus Ryder Pool and Health Club,Indoor swimming pools,1 Faustina Dr,Toronto,M8V 3L9,21097,Square feet,100,0,793554.4455,kWh,133548.779,Cubic meter,,,,,,,,,,,,,,,,,,,287324,104.4,,GUSR,Indoor Swimming Pool
Carefree Lodge,Long-term care,306 Finch Ave.E.,Toronto,M2N 4S5,67490,Square feet,168,0,1264328.33,kWh,117370.56,Cubic meter,,,,,,,,,,,,,,,,,,,277461,37.1,,CFL,Long Term Care Homes
McCormick R.C,Indoor recreational facilities,66 Sheridan Ave,Toronto,M6K 2G9,43099,Square feet,100,0,1090796.554,kWh,120363.311,Cubic meter,,,,,,,,,,,,,,,,,,,275482,54.8,,MCCOC,Indoor Recreational Facilities
Toryork Office,Fire stations and associated offices and facilities,40 Toryork Dr,Toronto,M9L 1X6,42625,Square feet,168,0,744115.6382,kWh,127771.0695,Cubic meter,,,,,,,,,,,,,,,,,,,274228,49.1,,TYO,Fire Stations
York Civic Center,"Administrative offices and related facilities, including municipal council chambers",2700 Eglinton Ave W,Toronto,M6M 1V1,72915,Square feet,70,0,1367941.7,kWh,110081.603,Cubic meter,,,,,,,,,,,,,,,,,,,268244,34.7,,YKCC,Administrative Offices
East York Community Centre,Community centres,1081A Pape Ave,Toronto,M4K 3W4,31000,Square feet,100,0,474514.106,kWh,127976.4806,Cubic meter,,,,,,,,,,,,,,,,,,,262754,58.9,,EASYC,Community Centres
Matty Eckler R.C,Indoor recreational facilities,953 Gerrard St E,Toronto,M4M 1Z4,47383,Square feet,100,0,541490.8381,kWh,126250.5936,Cubic meter,,,,,,,,,,,,,,,,,,,262439,39.6,,MATTC,Indoor Recreational Facilities
Allan Gardens,Other,160 Gerrard St E,Toronto,M5A 2P2,25177,Square feet,168,0,224893.737,kWh,131891.4783,Cubic meter,,,,,,,,,,,,,,,,,,,259170,64.2,,AGDN,Greenhouses
Victoria Park Transfer Station,Other,3350 Victoria Pk Ave.,Toronto,M2H 3K5,83959,Square feet,70,0,999482.1921,kWh,113090.8554,Cubic meter,,,,,,,,,,,,,,,,,,,257719,26.1,,VPTS,Transfer Stations
Herbert Carnegie Centennial Arena,Indoor sports arenas,580 Finch Ave. W,Toronto,M2R 1N7,42270,Square feet,100,0,716106.0072,kWh,118720.061,Cubic meter,,,,,,,,,,,,,,,,,,,255890,46.6,,NYCEA,Indoor Sports Arena
L'Amoreaux Tennis Club,Indoor recreational facilities,200 Silver Springs Blvd,Toronto,M1V 1M7,31474,Square feet,100,0,1206671.156,kWh,105311.0604,Cubic meter,,,,,,,,,,,,,,,,,,,252131,73.7,,LATC,Indoor Recreational Facilities
Wallace-Emerson C.C,Indoor swimming pools,1260 Dufferin St,Toronto,M6H 4C3,51882,Square feet,100,0,1092260.904,kWh,107514.2802,Cubic meter,,,,,,,,,,,,,,,,,,,251261,42.9,,WALLC,Indoor Swimming Pool
Parkdale Pumping Station,Facilities related to the pumping of water,71 The Queensway,Toronto,M6R 1B3,11227,Square feet,168,19344.806,5698172.087,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,250720,507.5,294.6,PPS,Water Pumping Facilities
Fairview Mall,Public libraries,35 Fairview Mall Dr,Toronto,M3M 2G3,64670,Square feet,70,0,1507370.806,kWh,97241.84144,Cubic meter,,,,,,,,,,,,,,,,,,,250111,39.2,,FV,Public Libraries
East York Civic Centre,"Administrative offices and related facilities, including municipal council chambers",850 Coxwell Ave,Toronto,M4C 5R1,67544,Square feet,70,0,1626772.647,kWh,91637.11144,Cubic meter,,,,,,,,,,,,,,,,,,,244772,38.4,,EYCC,Administrative Offices
Northline Parks and Garage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",30 Northline Rd,Toronto,M4B 3E2,50041,Square feet,70,0,616551.6253,kWh,111633.2385,Cubic meter,,,,,,,,,,,,,,,,,,,238115,35.9,,NLPK,Storage Facilities
Pleasantview Arena & R.C,Indoor recreational facilities,545 Van Horne Ave,Toronto,M2J 4S8,30559,Square feet,100,0,810250.9571,kWh,106278.0971,Cubic meter,,,,,,,,,,,,,,,,,,,236517,63.2,,PLEAA,Indoor Recreational Facilities
West Scarborough N.C,Community centres,313 Pharmacy Ave,Toronto,M1L 3E7,25198,Square feet,100,0,301147.8135,kWh,117298.2776,Cubic meter,,,,,,,,,,,,,,,,,,,234944,61.1,,WESSC,Community Centres
Old Eglinton Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",25 Old Eglinton Ave,Toronto,M4A 0A2,66155,Square feet,70,0,504038.8465,kWh,111776.4143,Cubic meter,,,,,,,,,,,,,,,,,,,233435,25.5,,BERMY,Storage Facilities
Chris Tonks Arena,Indoor sports arenas,2801 Eglinton Ave,Toronto,M6M 5B4,23638,Square feet,100,0,433251.0722,kWh,113287.8123,Cubic meter,,,,,,,,,,,,,,,,,,,233177,68.9,,CHRIA,Indoor Sports Arena
Eglinton Pumping Station,Facilities related to the pumping of water,885 Pharmacy Ave.,Toronto,M1L 3K9,10075,Square feet,168,30709.854,5295759.353,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,233013,525.6,172.4,EPS,Water Pumping Facilities
Main Square Comm Ctr,Community centres,245 Main St,Toronto,M4C 5T3,35123,Square feet,100,0,608201.9463,kWh,108891.2906,Cubic meter,,,,,,,,,,,,,,,,,,,232565,50.0,,245MAI,Community Centres
Scarborough Village C.C,Community centres,3600 Kingston Rd,Toronto,M1M 1R9,58125,Square feet,100,0,1139055.456,kWh,94771.8662,Cubic meter,,,,,,,,,,,,,,,,,,,229237,36.8,,SCARC,Community Centres
Rexdale Community Hub,"Administrative offices and related facilities, including municipal council chambers",21 Panorama Crt,Toronto,M9V 4E3,96369,Square feet,70,0,1181768.58,kWh,93098.01147,Cubic meter,,,,,,,,,,,,,,,,,,,227953,22.5,,21PAN,Administrative Offices
Dufferin Transfer Station,Other,35 Vanley Cres,Toronto,M3J 2B7,120663,Square feet,70,0,1933226.425,kWh,75367.60155,Cubic meter,,,,,,,,,,,,,,,,,,,227507,22.6,,DTS,Transfer Stations
#43 Police Division,Police stations and associated offices and facilities,4331 Lawrence Ave E,Toronto,M1E 2T4,55450,Square feet,168,0,899780.3084,kWh,97988.80349,Cubic meter,,,,,,,,,,,,,,,,,,,224789,34.9,,43PD,Police Stations
Amesbury Arena,Indoor sports arenas,155 Culford Rd,Toronto,M6M 4K6,26942,Square feet,100,0,738951.823,kWh,98642.4029,Cubic meter,,,,,,,,,,,,,,,,,,,218948,66.1,,AMESA,Indoor Sports Arena
Robertson House,Social housing,291 Sherbourne St,Toronto,M5A 2R9,19795,Square feet,168,0,547002.1111,kWh,101519.773,Cubic meter,,,,,,,,,,,,,,,,,,,215940,81.8,,RH,Shelters & Housing
Etobicoke Centennial Arena,Indoor sports arenas,56 Centennial Pk Rd,Toronto,M9C 5N3,72050,Square feet,100,0,1887571.757,kWh,70151.41095,Cubic meter,,,,,,,,,,,,,,,,,,,215639,36.5,,ETCEA,Indoor Sports Arena
110 Queen St W,Parking garages,110 Queen St W,Toronto,M5H 2N1,598473,Square feet,168,0,4733859.827,kWh,2037.333333,Cubic meter,,,,,,,,,,,,,,,,,,,212140,7.9,,110QUE,Parking Lots and Garages
St. Albans Pumping Station,Facilities related to the pumping of water,30 St.albans Rd,Toronto,M9B 6K4,3240,Square feet,168,28736.175,4817436.235,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,211967,"1,486.9",167.6,SAPS,Water Pumping Facilities
Intelligence Bureau,Police stations and associated offices and facilities,30 Upjohn St,Toronto,M3B 1Y2,70547,Square feet,168,0,1639956.891,kWh,73851.86936,Cubic meter,,,,,,,,,,,,,,,,,,,211738,34.3,,IB,Police Stations
